"Name","DisplayName","Status","StartType","Path"
"OneDrive Updater Service","OneDrive Updater Service","Stopped","Manual",
"OneSyncSvc_2bb48ad3","Sincronizar host_2bb48ad3","Running","Automatic",
"OpenVPNService","OpenVPNService","Stopped","Manual",
"OpenVPNServiceInteractive","OpenVPN Interactive Service","Running","Automatic",
"OpenVPNServiceLegacy","OpenVPN Legacy Service","Stopped","Manual",
"ose64","Office 64 Source Engine","Stopped","Manual",
"OverwolfUpdater","Overwolf Updater Windows SCM","Stopped","Manual",
"P9RdrService_2bb48ad3","P9RdrService_2bb48ad3","Stopped","Manual",
"PcaSvc","Servicio Asistente para la compatibilidad de programas","Running","Automatic",
"PenService_2bb48ad3","PenService_2bb48ad3","Stopped","Manual",
"perceptionsimulation","Servicio de simulación de percepción de Windows","Stopped","Manual",
"PerfHost","DLL de host del Contador de rendimiento","Stopped","Manual",
"pgbouncer","pgbouncer","Running","Automatic",
"PhoneSvc","Servicio telefónico","Running","Manual",
"PimIndexMaintenanceSvc_2bb48ad3","Datos de contactos_2bb48ad3","Stopped","Manual",
"pla","Registros y alertas de rendimiento","Stopped","Manual",
"PlugPlay","Plug and Play","Running","Manual",
"PolicyAgent","Agente de directiva IPsec","Stopped","Manual",
"Power","Energía","Running","Automatic",
"PrintDeviceConfigurationService","Servicio de configuración de dispositivos de impresión","Stopped","Manual",
"PrintNotify","Extensiones y notificaciones de impresora","Stopped","Manual",
"PrintScanBrokerService","PrintScanBrokerService","Stopped","Manual",
"PrintWorkflowUserSvc_2bb48ad3","PrintWorkflow_2bb48ad3","Stopped","Manual",
"ProfSvc","Servicio de perfil de usuario","Running","Automatic",
"PushToInstall","Servicio PushToInstall de Windows","Stopped","Manual",
"QWAVE","Experiencia de calidad de audio y vídeo de Windows (qWave)","Running","Manual",
"RasAuto","Administrador de conexiones automáticas de acceso remoto","Stopped","Manual",
"RasMan","Administrador de conexiones de acceso remoto","Running","Automatic",
"refsdedupsvc","Servicio de desduplicación de ReFS","Stopped","Manual",
"RemoteAccess","Enrutamiento y acceso remoto","Stopped","Disabled",
"RemoteRegistry","Registro remoto","Stopped","Disabled",
"RetailDemo","Servicio de prueba comercial","Stopped","Manual",
"RmSvc","Servicio de administración de radio","Running","Manual",
"RpcEptMapper","Asignador de extremos de RPC","Running","Automatic",
"RpcLocator","Ubicador de llamada a procedimiento remoto (RPC)","Stopped","Manual",
"RpcSs","Llamada a procedimiento remoto (RPC)","Running","Automatic",
"RstMwService","Intel(R) Storage Middleware Service","Running","Automatic",
"RtkAudioUniversalService","Realtek Audio Universal Service","Running","Automatic",
"SamSs","Administrador de cuentas de seguridad","Running","Automatic",
"SCardSvr","Tarjeta inteligente","Stopped","Manual",
"ScDeviceEnum","Servicio de enumeración de dispositivos de tarjeta inteligente","Stopped","Manual",
"Schedule","Programador de tareas","Running","Automatic",
"SCPolicySvc","Directiva de extracción de tarjetas inteligentes","Stopped","Manual",
"SDRSVC","Copias de seguridad de Windows","Stopped","Manual",
"seclogon","Inicio de sesión secundario","Running","Manual",
"SecurityHealthService","Servicio Seguridad de Windows","Running","Manual",
"SEMgrSvc","Administrador de pagos y NFC/SE","Stopped","Manual",
"SENS","Servicio de notificación de eventos de sistema","Running","Automatic",
"SensorDataService","Servicio de datos del sensor","Stopped","Manual",
"SensorService","Servicio de sensores","Running","Manual",
"SensrSvc","Servicio de supervisión de sensores","Stopped","Manual",
"SessionEnv","Configuración de Escritorio remoto","Running","Manual",
"SgrmBroker","Agente de supervisión en tiempo de ejecución de Protección del sistema","Stopped","Disabled",
"SharedAccess","Conexión compartida a Internet (ICS)","Running","Manual",
"ShellHWDetection","Detección de hardware shell","Running","Automatic",
"shpamsvc","Shared PC Account Manager","Stopped","Disabled",
"smphost","SMP de Espacios de almacenamiento de Microsoft","Running","Manual",
"SmsRouter","Servicio enrutador de SMS de Microsoft Windows.","Stopped","Manual",
"SNMPTrap","Captura de SNMP","Stopped","Manual",
"Spooler","Cola de impresión","Running","Automatic",
"sppsvc","Protección de software","Stopped","Automatic",
"SSDPSRV","Detección SSDP","Running","Manual",
"ssh-agent","OpenSSH Authentication Agent","Stopped","Disabled",
"SstpSvc","Servicio de protocolo de túnel de sockets seguros","Running","Manual",
"StateRepository","Servicio de repositorio de estado","Running","Automatic",
"Steam Client Service","Steam Client Service","Stopped","Manual",
"StiSvc","Adquisición de imágenes de Windows (WIA)","Running","Automatic",
"StorSvc","Servicio de almacenamiento","Running","Automatic",
"svsvc","Comprobador puntual","Stopped","Manual",
"swprv","Proveedor de instantáneas de software de Microsoft","Stopped","Manual",
"SysMain","SysMain","Running","Automatic",
"SystemEventsBroker","Agente de eventos del sistema","Running","Automatic",
"TapiSrv","Telefonía","Stopped","Manual",
"TermService","Servicios de Escritorio remoto","Running","Manual",
"TextInputManagementService","Servicio de administración de entrada de texto","Running","Automatic",
"Themes","Temas","Running","Automatic",
"TieringEngineService","Administración de capas de almacenamiento","Stopped","Manual",
"TimeBrokerSvc","Agente de eventos de tiempo","Running","Manual",
"TokenBroker","Administrador de cuentas web","Running","Manual",
"TrkWks","Cliente de seguimiento de vínculos distribuidos","Running","Automatic",
"TroubleshootingSvc","Servicio de solución de problemas recomendado","Stopped","Manual",
"TrustedInstaller","Instalador de módulos de Windows","Stopped","Manual",
"tzautoupdate","Actualizador de zona horaria automática","Stopped","Manual",
"UdkUserSvc_2bb48ad3","Servicio de usuario de Udk_2bb48ad3","Running","Manual",
"UmRdpService","Redirector de puerto en modo usuario de Servicios de Escritorio remoto","Running","Manual",
"UnistoreSvc_2bb48ad3","Almacenamiento de datos de usuarios_2bb48ad3","Stopped","Manual",
"upnphost","Dispositivo host de UPnP","Stopped","Manual",
"UserDataSvc_2bb48ad3","Acceso a datos de usuarios_2bb48ad3","Stopped","Manual",
"UserManager","Administrador de usuarios","Running","Automatic",
"UsoSvc","Servicio orquestador de actualizaciones","Running","Automatic",
"VaultSvc","Administrador de credenciales","Running","Manual",
"VBoxSDS","VirtualBox system service","Stopped","Manual",
"vdfssvc","VisualSVN Distributed File System Service","Stopped","Disabled",
"vds","Disco virtual","Stopped","Manual",
"VisualSVNServer","VisualSVN HTTP Service","Running","Automatic",
"VMAuthdService","VMware Authorization Service","Running","Automatic",
"vmcompute","Servicio de proceso de host de Hyper-V","Stopped","Manual",
"vmicguestinterface","Interfaz de servicio invitado de Hyper-V","Stopped","Manual",
"vmicheartbeat","Servicio de latido de Hyper-V","Stopped","Manual",
"vmickvpexchange","Servicio de intercambio de datos de Hyper-V","Stopped","Manual",
"vmicrdv","Servicio de virtualización de Escritorio remoto de Hyper-V","Stopped","Manual",
"vmicshutdown","Servicio de cierre de invitado de Hyper-V","Stopped","Manual",
"vmictimesync","Servicio de sincronización de hora de Hyper-V","Stopped","Manual",
"vmicvmsession","Servicio PowerShell Direct de Hyper-V","Stopped","Manual",
"vmicvss","Solicitante de instantáneas de volumen de Hyper-V","Stopped","Manual",
"VMnetDHCP","VMware DHCP Service","Running","Automatic",
"VMUSBArbService","VMware USB Arbitration Service","Running","Automatic",
"VMware NAT Service","VMware NAT Service","Running","Automatic",
"vrepocfgsvc","VisualSVN Repository Configurator Service","Stopped","Manual",
"VSInstallerElevationService","Visual Studio Installer Elevation Service","Stopped","Manual",
"VSS","Instantáneas de volumen","Stopped","Manual",
